t,vx_raw,wz_raw,vx_cmd,wz_cmd,traversability,stability,obstacle_risk,estop
1775601284.4988277,0.36817842721939087,-0.023914065212011337,0.066,-0.005261094346642494,0.22000000000000003,0.7579387238415478,0.4706305471733212,0
1775601285.128919,0.371924489736557,-0.02384253218770027,0.11748,-0.009349010671675206,0.3916,0.8035062318244651,0.3697145053358376,0
1775601285.7713869,0.37168747186660767,-0.02492070198059082,0.1576344,-0.012774782759636642,0.525448,0.840417459033795,0.29111859137981827,0
1775601286.4440153,0.37369227409362793,-0.02937699295580387,0.18895483200000002,-0.016427269002793433,0.6298494400000001,0.868662735939562,0.23030397050139667,0
1775601287.0773191,0.3397190570831299,-0.013789941556751728,0.21338476896000003,-0.01281326982217888,0.7112825632000002,0.8946216557289676,0.17963709699108935,0
1775601287.7101166,0.33929648995399475,-0.02193428762257099,0.23244011978880003,-0.014819893738265144,0.7748003992960001,0.9160863977973114,0.14252970729153253,0
1775601288.3815494,0.3401086926460266,-0.010984295047819614,0.24730329343526403,-0.011559517115846813,0.8243443114508802,0.9307605732317816,0.11117317168739531,0
1775601289.0843174,0.3220385015010834,-0.009918213821947575,0.25889656887950596,-0.009016423350360514,0.8629885629316866,0.9455698654820718,0.08671507391616831,0
1775601289.704013,0.3440890610218048,-0.009498277679085732,0.2679393237260147,-0.007032810213281201,0.8931310790867157,0.9572844978610846,0.06763775765461115,0
1775601290.3346484,0.2779669165611267,-0.011382889933884144,0.27014539414973937,-0.005485591966359337,0.9004846471657979,0.9854454424735021,0.062452007683700926,0
1775601290.9569085,0.2813138961791992,-0.0030495026148855686,0.27260246459622056,-0.004278761733760283,0.9086748819874019,0.9857215941564174,0.056934451674439016,0
1775601291.5788538,0.2735893726348877,-0.005129300989210606,0.2728195843647273,-0.003337434152333021,0.9093986145490911,0.9955899018552912,0.05602954834671185,0
1775601292.1913776,0.3006715178489685,-0.011687550693750381,0.2787992758044873,-0.0026031986388197564,0.9293309193482912,0.9736641635257784,0.04370304771043519,0
1775601292.8073895,0.2976735532283783,-0.013454608619213104,0.2829516168377434,-0.00203049493827941,0.9431720561258113,0.9814050408004255,0.0351120137936529,0
1775601293.418633,0.2920052409172058,-0.019671756774187088,0.2849434141352251,-0.00158378605185794,0.9498113804507504,0.990393935861866,0.030905064755478717,0
